epoch,localtime,n,phase,window,vpdd_conf,vpdd_sysfs,vpdd_timeout_ms,charge_now_uah,suspend_ok,suspend_fail
1786841231,03:47:11,1,A-v490,3,490,490,0,2262500,489,132
1786841291,03:48:11,2,A-v490,3,490,490,0,2262000,490,132
1786841351,03:49:11,3,A-v490,3,490,490,0,2260500,491,132
1786841411,03:50:11,4,B-v990,3,990,490,0,2259500,492,132
1786841471,03:51:11,5,B-v990,3,990,990,0,2259000,493,132
1786841530,03:52:10,6,B-v990,3,990,990,0,2258500,494,132
1786841591,03:53:11,7,end,34,6000,990,0,2257500,495,132
1786841651,03:54:11,8,end,34,6000,5990,0,2256000,496,132
1786841711,03:55:11,9,end,34,6000,5990,0,2254500,497,132
1786841771,03:56:11,10,end,34,6000,5990,0,2252500,498,132
1786841831,03:57:11,11,end,34,6000,5990,0,2251000,499,132
1786841889,03:58:09,0,plugged,3,490,30000,14176,2253000,500,132
1786841941,03:59:01,0,plugged,3,490,30000,0,2262000,500,132
1786842009,04:00:09,0,plugged,3,490,30000,0,2272000,500,132
1786842067,04:01:07,0,plugged,3,490,30000,0,2279500,500,132
