epoch,localtime,phase,window,vpdd,charge_now_uah,capacity_hires,suspend_ok,suspend_fail
1786363683,15:08:03,P1-base,34,6000,2429000,99.972,18,1
1786363686,15:08:06,P1-base,34,6000,2429000,99.972,18,1
1786363718,15:08:38,P1-base,34,6000,2429000,99.972,18,1
1786363741,15:09:01,P1-base,34,6000,2429000,99.972,18,1
1786363806,15:10:06,P1-base,34,6000,2429000,99.972,18,1
1786363866,15:11:06,P1-base,34,6000,2429000,99.972,18,1
1786363926,15:12:06,P1-base,34,6000,2429000,99.972,18,1
1786363986,15:13:06,P1-base,34,6000,2429000,99.972,18,1
1786364041,15:14:01,P1-base,34,6000,2429000,99.972,18,1
1786364106,15:15:06,P1-base,34,6000,2429000,99.972,18,1
1786364166,15:16:06,P1-base,34,6000,2426000,99.863,19,1
1786364221,15:17:01,P1-base,34,6000,2422500,99.718,19,1
1786364288,15:18:08,P1-base,34,6000,2420500,99.632,20,1
1786364347,15:19:07,P1-base,34,6000,2419000,99.570,21,1
1786364407,15:20:07,P1-base,34,6000,2417500,99.496,22,1
1786364467,15:21:07,P1-base,34,6000,2415500,99.437,23,1
1786364527,15:22:07,P1-base,34,6000,2414000,99.363,24,1
1786364588,15:23:08,P1-base,34,6000,2412500,99.300,25,1
1786364647,15:24:07,P1-base,34,6000,2411000,99.242,26,1
1786364707,15:25:07,P1-base,34,6000,2409500,99.167,27,1
1786364767,15:26:07,P1-base,34,6000,2407500,99.105,28,1
1786364828,15:27:08,P1-base,34,6000,2406000,99.035,29,1
1786364887,15:28:07,P1-base,34,6000,2404500,98.972,30,1
1786364947,15:29:07,P1-base,34,6000,2403000,98.898,31,1
1786365008,15:30:08,P1-base,34,6000,2401000,98.839,32,1
1786365068,15:31:08,P1-base,34,6000,2399500,98.765,33,1
1786365127,15:32:07,P1-base,34,6000,2398000,98.703,34,1
1786365187,15:33:07,P1-base,34,6000,2396500,98.644,35,1
1786365248,15:34:08,P1-base,34,6000,2395000,98.570,36,1
1786365307,15:35:07,P1-base,34,6000,2393000,98.507,37,1
1786365368,15:36:08,P1-base,34,6000,2391500,98.437,38,1
1786365427,15:37:07,P1-base,34,6000,2390000,98.375,39,1
1786365488,15:38:08,P1-base,34,6000,2388500,98.312,40,1
1786365547,15:39:07,P1-base,34,6000,2387000,98.242,41,1
1786365607,15:40:07,P1-base,34,6000,2385000,98.179,42,1
1786365668,15:41:08,P1-base,34,6000,2383500,98.105,43,1
1786365727,15:42:07,P1-base,34,6000,2382000,98.046,44,1
1786365787,15:43:07,P1-base,34,6000,2380500,97.972,45,1
1786365848,15:44:08,P1-base,34,6000,2378500,97.910,46,1
1786365907,15:45:07,P1-base,34,6000,2377000,97.851,47,1
1786365967,15:46:07,P1-base,34,6000,2375500,97.777,48,1
1786366028,15:47:08,P1-base,34,6000,2374000,97.714,49,1
1786366087,15:48:07,P1-base,34,6000,2372000,97.640,50,1
1786366147,15:49:07,P1-base,34,6000,2370500,97.582,51,1
1786366207,15:50:07,P1-base,34,6000,2369000,97.507,52,1
1786366267,15:51:07,P1-base,34,6000,2367500,97.445,53,1
1786366327,15:52:07,P1-base,34,6000,2366000,97.386,54,1
1786366387,15:53:07,P1-base,34,6000,2364000,97.312,55,1
1786366447,15:54:07,P1-base,34,6000,2362500,97.250,56,1
1786366508,15:55:08,P1-base,34,6000,2361000,97.179,57,1
1786366567,15:56:07,P1-base,34,6000,2359500,97.117,58,1
1786366628,15:57:08,P1-base,34,6000,2358000,97.054,59,1
1786366688,15:58:08,P1-base,34,6000,2356000,96.972,60,1
1786366748,15:59:08,P1-base,34,6000,2354000,96.898,61,1
1786366807,16:00:07,P1-base,34,6000,2352500,96.835,62,1
1786366868,16:01:08,P1-base,34,6000,2351000,96.777,63,1
1786366927,16:02:07,P1-base,34,6000,2349500,96.703,64,1
1786366987,16:03:07,P1-base,34,6000,2348000,96.640,65,1
1786367047,16:04:07,P1-base,34,6000,2346500,96.582,66,1
1786367107,16:05:07,P1-base,34,6000,2344500,96.507,67,1
1786367167,16:06:07,P1-base,34,6000,2343000,96.445,68,1
1786367227,16:07:07,P1-base,34,6000,2341500,96.386,69,1
1786367287,16:08:07,P1-base,34,6000,2340000,96.312,70,1
1786367348,16:09:08,P1-base,34,6000,2338000,96.250,71,1
1786367407,16:10:07,P1-base,34,6000,2336500,96.175,72,1
1786367467,16:11:07,P1-base,34,6000,2335000,96.117,73,1
1786367527,16:12:07,P1-base,34,6000,2333500,96.042,74,1
1786367587,16:13:07,P1-base,34,6000,2331500,95.968,75,1
1786367647,16:14:07,P1-base,34,6000,2330000,95.898,76,1
1786367707,16:15:07,P1-base,34,6000,2328000,95.835,77,1
1786367767,16:16:07,P1-base,34,6000,2326500,95.761,78,1
1786367827,16:17:07,P1-base,34,6000,2325000,95.703,79,1
1786367887,16:18:07,P1-base,34,6000,2323500,95.640,80,1
1786367947,16:19:07,P1-base,34,6000,2322000,95.566,81,1
1786368008,16:20:08,P1-base,34,6000,2320000,95.507,82,1
1786368068,16:21:08,P1-base,34,6000,2318500,95.433,83,1
1786368128,16:22:08,P1-base,34,6000,2317000,95.371,84,1
1786368187,16:23:07,P1-base,34,6000,2315500,95.312,85,1
1786368247,16:24:07,P1-base,34,6000,2314000,95.238,86,1
1786368308,16:25:08,P1-base,34,6000,2312000,95.175,87,1
1786368367,16:26:07,P1-base,34,6000,2310500,95.117,88,1
1786368428,16:27:08,P1-base,34,6000,2309000,95.042,89,1
1786368487,16:28:07,P1-base,34,6000,2307000,94.968,90,1
1786368547,16:29:07,P1-base,34,6000,2305500,94.906,91,1
1786368607,16:30:07,P2-w8,8,6000,2304000,94.835,92,1
1786368668,16:31:08,P2-w8,8,6000,2303000,94.796,93,1
1786368728,16:32:08,P2-w8,8,6000,2302000,94.761,94,1
1786368788,16:33:08,P2-w8,8,6000,2301500,94.726,95,1
1786368848,16:34:08,P2-w8,8,6000,2300500,94.687,96,1
1786368908,16:35:08,P2-w8,8,6000,2299500,94.652,97,1
1786368968,16:36:08,P2-w8,8,6000,2298500,94.613,98,1
1786369028,16:37:08,P2-w8,8,6000,2297500,94.578,99,1
1786369088,16:38:08,P2-w8,8,6000,2297000,94.542,100,1
1786369148,16:39:08,P2-w8,8,6000,2296000,94.503,101,1
1786369208,16:40:08,P2-w8,8,6000,2295000,94.468,102,1
1786369268,16:41:08,P2-w8,8,6000,2294000,94.433,103,1
1786369328,16:42:08,P2-w8,8,6000,2293500,94.394,104,1
1786369388,16:43:08,P2-w8,8,6000,2292500,94.359,105,1
1786369448,16:44:08,P2-w8,8,6000,2291500,94.320,106,1
1786369508,16:45:08,P2-w8,8,6000,2290500,94.285,107,1
1786369568,16:46:08,P2-w8,8,6000,2289500,94.250,108,1
1786369628,16:47:08,P2-w8,8,6000,2289000,94.210,109,1
1786369688,16:48:08,P2-w8,8,6000,2288000,94.175,110,1
1786369748,16:49:08,P2-w8,8,6000,2287000,94.140,111,1
1786369808,16:50:08,P2-w8,8,6000,2286000,94.101,112,1
1786369868,16:51:08,P2-w8,8,6000,2285500,94.066,113,1
1786369928,16:52:08,P2-w8,8,6000,2284500,94.027,114,1
1786369988,16:53:08,P2-w8,8,6000,2283000,93.968,115,1
1786370048,16:54:08,P2-w8,8,6000,2282000,93.929,116,1
1786370108,16:55:08,P2-w8,8,6000,2281000,93.894,117,1
1786370168,16:56:08,P2-w8,8,6000,2280000,93.859,118,1
1786370228,16:57:08,P2-w8,8,6000,2279500,93.820,119,1
1786370288,16:58:08,P2-w8,8,6000,2278500,93.785,120,1
1786370348,16:59:08,P2-w8,8,6000,2277500,93.750,121,1
1786370408,17:00:08,P3-w8v2,8,2000,2276500,93.710,122,1
1786370468,17:01:08,P3-w8v2,8,2000,2276000,93.675,123,1
1786370528,17:02:08,P3-w8v2,8,2000,2275000,93.652,124,1
1786370587,17:03:07,P3-w8v2,8,2000,2274500,93.625,125,1
1786370647,17:04:07,P3-w8v2,8,2000,2274000,93.589,126,1
1786370707,17:05:07,P3-w8v2,8,2000,2273000,93.566,127,1
1786370768,17:06:08,P3-w8v2,8,2000,2272500,93.539,128,1
1786370828,17:07:08,P3-w8v2,8,2000,2271500,93.503,129,1
1786370887,17:08:07,P3-w8v2,8,2000,2271000,93.480,130,1
1786370947,17:09:07,P3-w8v2,8,2000,2270500,93.457,131,1
1786371007,17:10:07,P3-w8v2,8,2000,2269500,93.417,132,1
1786371067,17:11:07,P3-w8v2,8,2000,2269000,93.394,133,1
1786371127,17:12:07,P3-w8v2,8,2000,2268000,93.359,134,1
1786371187,17:13:07,P3-w8v2,8,2000,2267500,93.332,135,1
1786371247,17:14:07,P3-w8v2,8,2000,2267000,93.308,136,1
1786371308,17:15:08,P3-w8v2,8,2000,2266000,93.285,137,1
1786371367,17:16:07,P3-w8v2,8,2000,2265500,93.246,138,1
1786371428,17:17:08,P3-w8v2,8,2000,2265000,93.222,139,1
1786371488,17:18:08,P3-w8v2,8,2000,2264000,93.199,140,1
1786371547,17:19:07,P3-w8v2,8,2000,2263500,93.175,141,1
1786371607,17:20:07,P3-w8v2,8,2000,2263000,93.148,142,1
1786371667,17:21:07,P3-w8v2,8,2000,2262000,93.113,143,1
1786371728,17:22:08,P3-w8v2,8,2000,2261500,93.089,144,1
1786371787,17:23:07,P3-w8v2,8,2000,2261000,93.066,145,1
1786371848,17:24:08,P3-w8v2,8,2000,2260000,93.027,146,1
1786371908,17:25:08,P3-w8v2,8,2000,2259500,93.003,147,1
1786371967,17:26:07,P3-w8v2,8,2000,2258500,92.968,148,1
1786372027,17:27:07,P3-w8v2,8,2000,2258000,92.941,149,1
1786372088,17:28:08,P3-w8v2,8,2000,2257500,92.917,150,1
1786372148,17:29:08,P3-w8v2,8,2000,2256500,92.894,151,1
1786372208,17:30:08,P4-w3v2,3,2000,2256000,92.855,152,1
1786372267,17:31:07,P4-w3v2,3,2000,2255500,92.832,153,1
1786372327,17:32:07,P4-w3v2,3,2000,2254500,92.808,154,1
1786372387,17:33:07,P4-w3v2,3,2000,2254000,92.785,155,1
1786372447,17:34:07,P4-w3v2,3,2000,2253500,92.746,156,1
1786372507,17:35:07,P4-w3v2,3,2000,2252500,92.722,157,1
1786372567,17:36:07,P4-w3v2,3,2000,2252000,92.699,158,1
1786372627,17:37:07,P4-w3v2,3,2000,2251500,92.660,159,1
1786372687,17:38:07,P4-w3v2,3,2000,2250500,92.636,160,1
1786372747,17:39:07,P4-w3v2,3,2000,2250000,92.613,161,1
1786372807,17:40:07,P4-w3v2,3,2000,2249500,92.589,162,1
1786372867,17:41:07,P4-w3v2,3,2000,2248500,92.550,163,1
1786372927,17:42:07,P4-w3v2,3,2000,2248000,92.527,164,1
1786372987,17:43:07,P4-w3v2,3,2000,2247500,92.503,165,1
1786373047,17:44:07,P4-w3v2,3,2000,2246500,92.480,166,1
1786373107,17:45:07,P4-w3v2,3,2000,2246000,92.441,167,1
1786373167,17:46:07,P4-w3v2,3,2000,2245000,92.417,168,1
1786373227,17:47:07,P4-w3v2,3,2000,2244500,92.394,169,1
1786373287,17:48:07,P4-w3v2,3,2000,2244000,92.355,170,1
1786373347,17:49:07,P4-w3v2,3,2000,2243000,92.332,171,1
1786373407,17:50:07,P4-w3v2,3,2000,2242500,92.308,172,1
1786373467,17:51:07,P4-w3v2,3,2000,2242000,92.269,173,1
1786373527,17:52:07,P4-w3v2,3,2000,2241000,92.246,174,1
1786373587,17:53:07,P4-w3v2,3,2000,2240500,92.222,175,1
1786373647,17:54:07,P4-w3v2,3,2000,2239500,92.187,176,1
